,school,school_norm,school_standard,specialization,specialization_norm,specialization_standard
1071,Nguyễn Trung Trực,nguyen trung truc,nguyen trung truc,"Kinh doanh, bán hàng",kinh doanh ban hang,CannotFound
1072,Trường CĐSP TÂY NINH,cao dang su pham tay ninh,cao dang su pham tay ninh,TIẾNG ANH,tieng anh,su pham tieng anh
1073,trường cao đẳng công nghệ và quản trị doanh nghiệp,cao dang cong nghe quan tri doanh nghiep,cao dang cong nghe quan tri doanh nghiep,"kế toán, tim học",ke toan tim hoc,toan hoc
1074,THPT Nguyễn Du,trung hoc pho thong nguyen du,trung hoc pho thong nguyen du,Công nghệ thông tin,cong nghe thong tin,cong nghe thong tin
1075,Đại học Mở,dai hoc mo,dai hoc mo,kế toán,ke toan,ke toan
1076,Ho Chi Minh City University of Natural Sciences,hcm university of natural sciences,hcm university of natural sciences,0,0,CannotFound
1077,Nha Trang University,nha trang university,nha trang university,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
1078,Đại học Kinh tế quốc dân,dai hoc kinh te quoc dan,dai hoc kinh te quoc dan,0,0,CannotFound
1079,Đại học công nghệ-Đại học quốc gia Hà Nội,dai hoc cong nghe dai hoc quoc gia ha noi,dai hoc cong nghe dai hoc quoc gia ha noi,0,0,CannotFound
1080,thpt le hoai don,trung hoc pho thong le hoai don,trung hoc pho thong le hoai don,thpt,trung hoc pho thong,CannotFound
1081,Cao Đẳng Kinh Tế Đối Ngoại,cao dang kinh te doi ngoai,cao dang kinh te doi ngoai,Kinh Doanh Xuất Nhập Khẩu,kinh doanh xuat nhap khau,CannotFound
1082,Đại học Công Đoàn,dai hoc cong doan,dai hoc cong doan,Bảo hộ lao động,bao ho lao dong,bao ho lao dong
1083,Trường THPT Tân Kỳ 3,trung hoc pho thong tan ky 3,trung hoc pho thong tan ky 3,Phổ thông,pho thong,CannotFound
1084,Trường Đại học Công nghiệp Hà Nội,dai hoc cong nghiep ha noi,dai hoc cong nghiep ha noi,Quản trị kinh doanh ,quan tri kinh doanh,quan tri kinh doanh
1085,Da Nang University of Economics,da nang university of economics,da nang university of economics,Business Administration,business administration,quan tri kinh doanh
1086, Deakin University,deakin university,deakin university,Commerce ,commerce,thuong mai dien tu
1087,cao đẳng kinh tế công nghiệp hà nội,cao dang kinh te cong nghiep ha noi,cao dang kinh te cong nghiep ha noi,Tin ứng dụng,tin ung dung,CannotFound
1088,Kyoto University,kyoto university,kyoto university, Computer Science with AI,computer science with ai,khoa hoc may tinh
1089,Osaka University of Foreign Studies,osaka university of foreign studies,osaka university of foreign studies,0,0,CannotFound
1090,Đại học Luật Huế,dai hoc luat hue,dai hoc luat hue,Luật kinh tế,luat kinh te,luat kinh te
1091,Học viện Báo chí và Tuyên truyền,hoc vien bao chi tuyen truyen,hoc vien bao chi tuyen truyen,0,0,CannotFound
1092,Trường Đại học Kinh tế Quốc Dân - NEU,dai hoc kinh te quoc dan neu,dai hoc kinh te quoc dan neu,Kiểm toán,kiem toan,kiem toan
1093,Trường đại học công nghiệp Hà Nội,dai hoc cong nghiep ha noi,dai hoc cong nghiep ha noi,0,0,CannotFound
1094,Đại học giao thông vận tải,dai hoc giao thong van tai,dai hoc giao thong van tai,Cơ khí ô tô,co khi o to,CannotFound
1095,Kinh tế Kĩ thuật Công Nghiệp,kinh te ki thuat cong nghiep,kinh te ki thuat cong nghiep,Điện tử Truyền thông,dien tu truyen thong,bieu dien nhac cu truyen thong
1096,cao đẳng nghệ thuật Hà Nội,cao dang nghe thuat ha noi,cao dang nghe thuat ha noi,piano,piano,piano
1097,cao đẳng nghệ thuật Hà Nội,cao dang nghe thuat ha noi,cao dang nghe thuat ha noi,piano,piano,piano
1098,Đại Học Công Đoàn,dai hoc cong doan,dai hoc cong doan,Quản Trị Kinh Doanh,quan tri kinh doanh,quan tri kinh doanh
1099,Truong dai hoc bac lieu,dai hoc bac lieu,dai hoc bac lieu,Ke toan,ke toan,ke toan
1100,Truong dai hoc bac lieu,dai hoc bac lieu,dai hoc bac lieu,Ke toan,ke toan,ke toan
1101,thcs hậu giang,trung hoc co so hau giang,trung hoc co so hau giang,khong co,khong co,CannotFound
1102,Cao Đẳng Công Nghệ Thông Tin TP. HCM,cao dang cong nghe thong tin hcm,cao dang cong nghe thong tin hcm,Truyền Thông Và Mạng Máy Tính,truyen thong mang may tinh,CannotFound
1103,Trường trung học phổ thông Yên Lập,trung hoc pho thong yen lap,trung hoc pho thong yen lap,0,0,CannotFound
1104,Trung cấp nghề tổng hợp Hà Nội,trung cap nghe tong hop ha noi,trung cap nghe tong hop ha noi,Điện Công Nghiệp,dien cong nghiep,CannotFound
1105,Đại học Thương mại,dai hoc thuong mai,dai hoc thuong mai,Khách sạn du lịch,khach san du lich,du lich
1106,Đại học Kinh tế Quốc Dân,dai hoc kinh te quoc dan,dai hoc kinh te quoc dan,Kiểm toán,kiem toan,kiem toan
1107,đại học sư phạm đà nẵng,dai hoc su pham da nang,dai hoc su pham da nang,hoá dược,hoa duoc,hoa duoc
1108,đại học công nghệ tphcm hutech,dai hoc cong nghe hcm hutech,dai hoc cong nghe hcm hutech,công nghệ thông tin,cong nghe thong tin,cong nghe thong tin
1109,Đại học KInh tế - Kỹ thuật công nghiệp,dai hoc kinh te ky thuat cong nghiep,dai hoc kinh te ky thuat cong nghiep,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
1110,trường Đại học Tài Chính Marketing,dai hoc tai chinh marketing,dai hoc tai chinh marketing,kiểm toán,kiem toan,kiem toan
1111,Trường THPT Tháp Chàm,trung hoc pho thong thap cham,trung hoc pho thong thap cham,0,0,CannotFound
1112,FPT APTECH VIETNAM,fpt aptech vietnam,fpt aptech vietnam,Công Nghệ Thông Tin,cong nghe thong tin,cong nghe thong tin
1113,Đại học Công nghệ Thông tin - Đại học Quốc gia Tp Hồ Chí Minh,dai hoc cong nghe thong tin dai hoc quoc gia hcm,dai hoc cong nghe thong tin dai hoc quoc gia hcm,Công Nghệ Thông Tin,cong nghe thong tin,cong nghe thong tin
1114,Cao đẳng Cộng đồng Cà Mau,cao dang cong dong ca mau,cao dang cong dong ca mau,0,0,CannotFound
1115,THPT Hữu Lũng ,trung hoc pho thong huu lung,trung hoc pho thong huu lung,0,0,CannotFound
1116,thcs thai van lung,trung hoc co so thai van lung,trung hoc co so thai van lung,hoc cap 2,hoc cap 2,CannotFound
1117,Trung cấp kỹ thuật & công nghệ Cửu Long,trung cap ky thuat cong nghe cuu long,trung cap ky thuat cong nghe cuu long,Dược sĩ trung cấp,duoc si trung cap,CannotFound
1118,Đại học Công Nghiệp Tphcm,dai hoc cong nghiep hcm,dai hoc cong nghiep hcm,"Điện tử, Truyền Thông",dien tu truyen thong,bieu dien nhac cu truyen thong
1119,East Asia Institute of Management EASB,east asia institute of management easb,east asia institute of management easb,Business Management,business management,CannotFound
1120,Học Viện Đào Tạo PTI,hoc vien dao tao pti,hoc vien dao tao pti,Chief Marketing Officer,chief marketing officer,marketing
1121,Đại học FPT,dai hoc fpt,dai hoc fpt,Lập trình viên,lap trinh vien,CannotFound
1122,trường đại học Văn Hoá Hà Nội,dai hoc van hoa ha noi,dai hoc van hoa ha noi,văn hoá học,van hoa hoc,van hoa hoc
1123,Cao Đẳng Công Nghiệp Huế,cao dang cong nghiep hue,cao dang cong nghiep hue,cơ khí chế tạo,co khi che tao,CannotFound
1124,THPT Phan Bội Châu,trung hoc pho thong phan boi chau,trung hoc pho thong phan boi chau,0,0,CannotFound
1125,Trường Cao đẳng Nghề An Giang,cao dang nghe an giang,cao dang nghe an giang,Xây Dựng Dân Dụng,xay dung dan dung,CannotFound
1126, Đại học ngoại ngữ tin học TPHCM,dai hoc ngoai ngu tin hoc hcm,dai hoc ngoai ngu tin hoc hcm,Quản trị Kinh doanh Quốc tế,quan tri kinh doanh quoc te,quan tri kinh doanh
1127,Đại học Công nghiệp TP Hồ Chí Minh,dai hoc cong nghiep hcm,dai hoc cong nghiep hcm,Công Nghệ Thông Tin,cong nghe thong tin,cong nghe thong tin
1128,Đại học Kinh tế Kỹ thuật Công nghiệp,dai hoc kinh te ky thuat cong nghiep,dai hoc kinh te ky thuat cong nghiep,Tài chính Ngân Hàng,tai chinh ngan hang,tai chinh ngan hang
1129,Cao đẳng Sư phạm Trung Ương,cao dang su pham trung uong,cao dang su pham trung uong,Giáo dục Mầm non,giao duc mam non,giao duc mam non
1130,trung hoc co so trung hieu,trung hoc co so trung hieu,trung hoc co so trung hieu,trung hoc,trung hoc,trung quoc hoc
1131,Đại học Công Nghiệp Thực Phẩm,dai hoc cong nghiep thuc pham,dai hoc cong nghiep thuc pham,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
1132,Đại học Mở TPHCM,dai hoc mo hcm,dai hoc mo hcm,CNTT,cong nghe thong tin,cong nghe thong tin
1133,Trường THPT Tân Trụ,trung hoc pho thong tan tru,trung hoc pho thong tan tru,0,0,CannotFound
1134,Trường THPT Phan Đình Phùng - Hà Tĩnh,trung hoc pho thong phan dinh phung ha tinh,trung hoc pho thong phan dinh phung ha tinh,0,0,CannotFound
1135,Trường THPT Phan Đình Phùng - Hà Tĩnh,trung hoc pho thong phan dinh phung ha tinh,trung hoc pho thong phan dinh phung ha tinh,0,0,CannotFound
1136,Trường THPT Thạch Thành I,trung hoc pho thong thach thanh i,trung hoc pho thong thach thanh i,0,0,CannotFound
1137,Đại học Quóc Gia Hà Nội,dai hoc quoc gia ha noi,dai hoc quoc gia ha noi,Khoa học chính trị,khoa hoc chinh tri,CannotFound
1138,Trường  Đại học Đông Á,dai hoc dong a,dai hoc dong a,Kế toán doanh nghiệp,ke toan doanh nghiep,CannotFound
1139,Monash University,monash university,monash university,Master of Applied Finance ,master of applied finance,CannotFound
1140,Trường THPT Hữu Trang,trung hoc pho thong huu trang,trung hoc pho thong huu trang,0,0,CannotFound
1141,Trường Đại học Khoa học Xã hội và Nhân văn,dai hoc khoa hoc xa hoi nhan van,dai hoc khoa hoc xa hoi nhan van,0,0,CannotFound
1142,RMIT University VietNam,rmit university vietnam,rmit university vietnam,Bachelor of Commerce,bachelor of commerce,CannotFound
1143,Trường Đại học Kinh tế Quốc Dân,dai hoc kinh te quoc dan,dai hoc kinh te quoc dan,0,0,CannotFound
1144,Đại học Phương Đông,dai hoc phuong dong,dai hoc phuong dong,Kế toán,ke toan,ke toan
1145,Trường THPT Nguyễn Trãi - Bến Tre,trung hoc pho thong nguyen trai ben tre,trung hoc pho thong nguyen trai ben tre,0,0,CannotFound
1146,Trường Đại học Kinh tế Quốc dân,dai hoc kinh te quoc dan,dai hoc kinh te quoc dan,Quản trị nhân lực,quan tri nhan luc,quan tri nhan luc
1147,Trường THPT A Hải Hậu,trung hoc pho thong a hai hau,trung hoc pho thong a hai hau,0,0,CannotFound
1148,THPT Tây Sơn,trung hoc pho thong tay son,trung hoc pho thong tay son,học sinh,hoc sinh,sinh hoc
1149,cao đẳng công thương,cao dang cong thuong,cao dang cong thuong,cơ khí động lực,co khi dong luc,ky thuat co khi dong luc
1150,Trường THPT chuyên Lương Văn Chánh,trung hoc pho thong chuyen luong van chanh,trung hoc pho thong chuyen luong van chanh,chính quy,chinh quy,CannotFound
1151,Trường Đại Học Kinh Tế Luật,dai hoc kinh te luat,dai hoc kinh te luat,Kiểm toán,kiem toan,kiem toan
1152,Trường THPT Lê Viết Thuật - TP Vinh ,trung hoc pho thong le viet thuat vinh,trung hoc pho thong le viet thuat vinh,0,0,CannotFound
1153,Trường THPT Nguyễn An Ninh,trung hoc pho thong nguyen an ninh,trung hoc pho thong nguyen an ninh,0,0,CannotFound
1154,Trường Đại Học Nông Lâm TP.HCM ,dai hoc nong lam hcm,dai hoc nong lam hcm,0,0,CannotFound
1155,CĐ Bách Khoa Đà Nẵng  Đà Nẵng,cao dang bach khoa da nang da nang,cao dang bach khoa da nang da nang,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
1156,HITU - Trường Cao Đẳng Công Thương TP.HCM ,hitu truong cao dang cong thuong hcm,hitu truong cao dang cong thuong hcm,Kỹ Thuật Ôtô,ky thuat oto,ky thuat o to
1157,Trường THPT Lê Quý Đôn Tây Ninh ,trung hoc pho thong le quy don tay ninh,trung hoc pho thong le quy don tay ninh,0,0,CannotFound
1158,Trường cao đẳng y tế Hà Đông,cao dang y te ha dong,cao dang y te ha dong,y sỹ đa khoa,y sy da khoa,y khoa
1159,trường đại học công nghiệp hà nội,dai hoc cong nghiep ha noi,dai hoc cong nghiep ha noi,công nghệ kỷ thuật ô tô,cong nghe ky thuat o to,cong nghe ky thuat o to
1160,Đại học công nghệ hutech,dai hoc cong nghe hutech,dai hoc cong nghe hutech,marketing,marketing,marketing
1161,đại học sài gòn,dai hoc sai gon,dai hoc sai gon,sư phạm,su pham,su pham dia ly
1162,Duy Tan University ,duy tan university,duy tan university,Marketing ,marketing,marketing
1163,Trường Tccn Kỹ Thuật Và Nghiệp Vụ Nam Sài Gòn,tccn ky thuat nghiep vu nam sai gon,tccn ky thuat nghiep vu nam sai gon,Kỹ thuật chế biến món ăn,ky thuat che bien mon an,ky thuat bien
1164,Trường Tccn Kỹ Thuật Và Nghiệp Vụ Nam Sài Gòn,tccn ky thuat nghiep vu nam sai gon,tccn ky thuat nghiep vu nam sai gon,Kỹ thuật chế biến món ăn,ky thuat che bien mon an,ky thuat bien
1165,STHC - Saigontourist Hospitality College 在籍者,sthc saigontourist hospitality college zai ji zhe,sthc saigontourist hospitality college zai ji zhe,Du lịch,du lich,du lich
1166,Học viện Quân Y,hoc vien quan y,hoc vien quan y,Bác sĩ đa khoa,bac si da khoa,CannotFound
1167,Arena Multimedia,arena multimedia,arena multimedia,0,0,CannotFound
1168,Đại học Xây dựng · Hà Nội,dai hoc xay dung ha noi,dai hoc xay dung ha noi,XDDD&CN ,xddd cn,CannotFound
1169,Đại học Quy Nhơn,dai hoc quy nhon,dai hoc quy nhon,0,0,CannotFound
1170,DDH Giao thông Vận tải,d dai hoc giao thong van tai,d dai hoc giao thong van tai,0,0,CannotFound
1171,Học viện Tài Chính (Academy Of Finance),hoc vien tai chinh,hoc vien tai chinh,0,0,CannotFound
1172,THPT Quỳnh Lưu 4,trung hoc pho thong quynh luu 4,trung hoc pho thong quynh luu 4,0,0,CannotFound
1173,Duy Tan University,duy tan university,duy tan university,Finance and Banking,finance and banking,tai chinh ngan hang
1174,THPT Nguyễn Bỉnh Khiêm,trung hoc pho thong nguyen binh khiem,trung hoc pho thong nguyen binh khiem,0,0,CannotFound
1175,Hanoi University of Science and Technology  ,hanoi university of science and technology,hanoi university of science and technology,CNTT - IT,cong nghe thong tin it,cong nghe thong tin
1176,CĐ Công Nghệ Thông Tin - Đà Nẵng,cao dang cong nghe thong tin da nang,cao dang cong nghe thong tin da nang,0,0,CannotFound
1177,Cao Đẳng Kinh Tế Đối Ngoại,cao dang kinh te doi ngoai,cao dang kinh te doi ngoai,Tiếng Anh Thương Mại,tieng anh thuong mai,CannotFound
1178,Đại Học Mỏ Địa Chất Hà Nội ,dai hoc mo dia chat ha noi,dai hoc mo dia chat ha noi,0,0,CannotFound
1179,ĐH Tài chính - Marketing Thành phố Hồ Chí Minh,dai hoc tai chinh marketing hcm,dai hoc tai chinh marketing hcm,0,0,CannotFound
1180,Cao đẳng Giao Thông Vận Tải ,cao dang giao thong van tai,cao dang giao thong van tai,Công Nghệ Ôtô Khoa Cơ Khí Động Lực,cong nghe oto khoa co khi dong luc,CannotFound
1181,Dai Hoc Tong Hop TP HCM 1988 đến 1991 · Ngữ văn,dai hoc tong hop hcm 1988 den 1991 ngu van,dai hoc tong hop hcm 1988 den 1991 ngu van,0,0,CannotFound
1182,THPT Phan Văn Trị ,trung hoc pho thong phan van tri,trung hoc pho thong phan van tri,0,0,CannotFound
1183,ĐẠI HỌC CÔNG NGHỆ THÔNG TIN GIA ĐỊNH,dai hoc cong nghe thong tin gia dinh,dai hoc cong nghe thong tin gia dinh,Banking & Finance,banking finance,CannotFound
1184,THPT TRẦN HƯNG ĐẠO,trung hoc pho thong tran hung dao,trung hoc pho thong tran hung dao,Không có,khong co,CannotFound
1185,Đại học Duy Tân,dai hoc duy tan,dai hoc duy tan,Dược sỹ,duoc sy,CannotFound
1186,HUTECH - Đại học Công nghệ Tp.HCM  ,hutech dai hoc cong nghe hcm,hutech dai hoc cong nghe hcm,Thiết kế Thời Trang,thiet ke thoi trang,thiet ke thoi trang
1187,National Economics University  ,national economics university,national economics university,Coporate Finance,coporate finance,CannotFound
1188,Đại học Tôn Đức Thắng,dai hoc ton duc thang,dai hoc ton duc thang,Ngôn ngữ Trung Quốc,ngon ngu trung quoc,ngon ngu trung quoc
1189,SaigonTech - Houston Community College,saigontech houston community college,saigontech houston community college,Marketing,marketing,marketing
1190,Trường Đại học Ngoại ngữ - Tin học TP. HCM - HUFLIT,dai hoc ngoai ngu tin hoc hcm huflit,dai hoc ngoai ngu tin hoc hcm huflit,Tin học,tin hoc,dia tin hoc
1191,Đại Học Quốc Tế Miền Đông ,dai hoc quoc te mien dong,dai hoc quoc te mien dong,Supply Chain Management ,supply chain management,logistics quan ly chuoi cung ung
1192,cao đẳng điện lực miền trung,cao dang dien luc mien trung,cao dang dien luc mien trung,công nghệ kĩ thuật điện điện tử,cong nghe ki thuat dien dien tu,cong nghe ky thuat dien dien tu
1193,Truman State University,truman state university,truman state university,Communication,communication,truyen thong dai chung
1194,DH Công Nghiệp TPHCM,dai hoc cong nghiep hcm,dai hoc cong nghiep hcm,Công Nghệ Thực Phẩm,cong nghe thuc pham,cong nghe thuc pham
1195,thpt quang trung đống đa,trung hoc pho thong quang trung dong da,trung hoc pho thong quang trung dong da,ban tự nhiên,ban tu nhien,CannotFound
1196,trường trung cấp nghề số 3 quân đoàn 3,trung cap nghe so 3 quan doan 3,trung cap nghe so 3 quan doan 3,cơ khí khá,co khi kha,CannotFound
1197,University of Economics and Finance,university of economics and finance,university of economics and finance,International Business,international business,kinh doanh quoc te
1198,Hùng Vương,hung vuong,hung vuong,Sửa Chữa Xe Gắn Máy,sua chua xe gan may,CannotFound
1199,Đại học Công nghiệp Hà Nội,dai hoc cong nghiep ha noi,dai hoc cong nghiep ha noi,Kế toán - Kiểm toán ,ke toan kiem toan,kiem toan
